10進,16進,文字 ,
0,0x00,\verb|NUL|(null文字) ,
1,0x01,\verb|SOH|(ヘッダ開始),
2,0x02,\verb|STX|(テキスト開始),
3,0x03,\verb|ETX|(テキスト終了),
4,0x04,\verb|EOT|(転送終了),
5,0x05,\verb|ENQ|(照会),
6,0x06,\verb|ACK|(受信ＯＫ),
7,0x07,\verb|BEL|(警告),
8,0x08,\verb|BS|(後退),
9,0x09,\verb|HT|(水平タブ),
10,0x0a,\verb|LF|(改行),
11,0x0b,\verb|VT|(垂直タブ),
12,0x0c,\verb|FF|(改頁),
13,0x0d,\verb|CR|(復帰),
14,0x0e,\verb|SO|(シフトアウト),
15,0x0f,\verb|SI|(シフトイン),
16,0x10,\verb|DLE|(データリンクエスケープ),
17,0x11,\verb|DC1|(装置制御１),
18,0x12,\verb|DC2|(装置制御２),
19,0x13,\verb|DC3|(装置制御３),
20,0x14,\verb|DC4|(装置制御４),
21,0x15,\verb|NAK|(受信失敗),
22,0x16,\verb|SYN|(同期),
23,0x17,\verb|ETB|(転送ブロック終了),
24,0x18,\verb|CAN|(とりけし),
25,0x19,\verb|EM|(メディア終了),
26,0x1a,\verb|SUB|(置換),
27,0x1b,\verb|ESC|(エスケープ),
28,0x1c,\verb|FS|(フォーム区切り),
29,0x1d,\verb|GS|(グループ区切り),
30,0x1e,\verb|RS|(レコード区切り),
31,0x1f,\verb|US|(ユニット区切り),
32,0x20,\verb` `(スペース)
33,0x21,\verb|!|
34,0x22,\verb|"""|
35,0x23,\verb|#|
36,0x24,\verb|$|
37,0x25,\verb|%|
38,0x26,\verb|&|
39,0x27,\verb|'|
40,0x28,\verb||(|
41,0x29,\verb|)|
42,0x2a,\verb|*|
43,0x2b,\verb|+|
44,0x2c,\verb|コンマ|
45,0x2d,\verb|-|
46,0x2e,\verb|.|
47,0x2f,\verb|/|
48,0x30,\verb|0|
49,0x31,\verb|1|
50,0x32,\verb|2|
51,0x33,\verb|3|
52,0x34,\verb|4|
53,0x35,\verb|5|
54,0x36,\verb|6|
55,0x37,\verb|7|
56,0x38,\verb|8|
57,0x39,\verb|9|
58,0x3a,\verb|:|
59,0x3b,\verb|;|
60,0x3c,\verb|<|
61,0x3d,\verb|=|
62,0x3e,\verb|>|
63,0x3f,\verb|?|
64,0x40,\verb|@|
65,0x41,\verb|A|
66,0x42,\verb|B|
67,0x43,\verb|C|
68,0x44,\verb|D|
69,0x45,\verb|E|
70,0x46,\verb|F|
71,0x47,\verb|G|
72,0x48,\verb|H|
73,0x49,\verb|I|
74,0x4a,\verb|J|
75,0x4b,\verb|K|
76,0x4c,\verb|L|
77,0x4d,\verb|M|
78,0x4e,\verb|N|
79,0x4f,\verb|O|
80,0x50,\verb|P|
81,0x51,\verb|Q|
82,0x52,\verb|R|
83,0x53,\verb|S|
84,0x54,\verb|T|
85,0x55,\verb|U|
86,0x56,\verb|V|
87,0x57,\verb|W|
88,0x58,\verb|X|
89,0x59,\verb|Y|
90,0x5a,\verb|Z|
91,0x5b,\verb|[|
92,0x5c,\verb|\|
93,0x5d,\verb|]|
94,0x5e,\verb|^|
95,0x5f,\verb|_|
96,0x60,\verb|`|
97,0x61,\verb|a|
98,0x62,\verb|b|
99,0x63,\verb|c|
100,0x64,\verb|d|
101,0x65,\verb|e|
102,0x66,\verb|f|
103,0x67,\verb|g|
104,0x68,\verb|h|
105,0x69,\verb|i|
106,0x6a,\verb|j|
107,0x6b,\verb|k|
108,0x6c,\verb|l|
109,0x6d,\verb|m|
110,0x6e,\verb|n|
111,0x6f,\verb|o|
112,0x70,\verb|p|
113,0x71,\verb|q|
114,0x72,\verb|r|
115,0x73,\verb|s|
116,0x74,\verb|t|
117,0x75,\verb|u|
118,0x76,\verb|v|
119,0x77,\verb|w|
120,0x78,\verb|x|
121,0x79,\verb|y|
122,0x7a,\verb|z|
123,0x7b,\verb|{|
124,0x7c,\verb`|`
125,0x7d,\verb|}|
126,0x7e,\verb|~|
127,0x7f,\verb|DEL|(削除),
